Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
170010,2017,10/16/2017,Tolland,75 DOYLE ROAD,213600.0,209000.0,1.022009569,Single Family,Single Family,25 - Other,CRUMBLING FOUNDATION,,POINT (-72.40091 41.87939)
160377,2016,03/07/2017,Bristol,50 EASTWOOD RD,180880.0,235000.0,0.769702128,Single Family,Single Family,,,,
210643,2021,03/18/2022,Bristol,44 BURTON ST,119650.0,265000.0,0.4515,Residential,Single Family,,,,POINT (-72.90151402 41.689771)
160961,2016,08/08/2017,Danbury,37 SKYLINE DR,148200.0,239999.0,0.617502573,Single Family,Single Family,,K14205,,
100561,2010,06/30/2011,West Hartford,169 OAKWOOD AVENUE,138800.0,220000.0,0.630909091,,,,,,
30523,2003,10/01/2003,Waterbury,34 COUNTRY CLB WOODS CIR,166110.0,245000.0,0.678,,,,,,
100003,2010,10/13/2010,Wolcott,21 WOODBERRY CT,258910.0,369900.0,0.699945931,Single Family,Single Family,,,,POINT (-72.96763 41.5786)
90109,2009,03/29/2010,East Hampton,71 CHESTNUT HILL RD,142000.0,105000.0,1.352380952,Single Family,Single Family,25 - Other,estate sale,,
40085,2004,11/16/2004,Stonington,37 WILLIAM ST,117100.0,225000.0,0.520444444,,,,,,
32622,2003,09/15/2004,Waterbury,134 HUBBELL AVE,87850.0,160000.0,0.5490625,,,,,,
180143,2018,11/30/2018,New Haven,15 DEWITT ST,85750.0,180000.0,0.4763,Two Family,Two Family,,,,
50419,2005,12/09/2005,Hartford,159-161 BOND ST,52430.0,189450.0,0.276748482,,,,,,POINT (-72.68049 41.74375)
140164,2014,04/08/2015,Brookfield,30 LEDGEWOOD DRIVE,173500.0,205000.0,0.846341463,Condo,Condo,,,,
10062,2001,10/12/2001,West Hartford,5 HENLEY WAY,11200.0,223411.0,0.05013182,,,7,,,
21082,2021,12/01/2021,Bethel,104 HOYTS HILL ROAD,171080.0,405000.0,0.422419753,Residential,Single Family,,SOLD WITH HOYTS HILL,,POINT (-73.395810022 41.371063004)
130057,2013,06/17/2014,Thomaston,143 PINE HILL RD U19A,66710.0,83000.0,0.80373494,Condo,Condo,,,,
190401,2019,07/14/2020,Westport,28 MEADOW VIEW DRIVE,897900.0,1160000.0,0.7741,Single Family,Single Family,,,,
190729,2019,07/24/2020,Greenwich,115 FIELD POINT CIRCLE,6421450.0,11207500.0,0.573,Single Family,Single Family,25 - Other,Not listed.,,
180167,2018,11/30/2018,New Britain,132 GLEN ST + 56 WHITING ST,185290.0,125000.0,1.4823,,,25 - Other,Sale price is not reflective of market value for this type of property,,
160015,2016,10/28/2016,Essex,1 WINDSWEPT RIDGE ROAD,302300.0,301875.0,1.001407867,Single Family,Single Family,14 - Foreclosure,Sale by the bank of a foreclosed property,,
80069,2008,05/27/2009,Brooklyn,3 GRANDVIEW TERR,118970.0,93000.0,1.279247312,Single Family,Single Family,14 - Foreclosure,,,POINT (-71.92188 41.77767)
40206,2004,10/21/2004,Stamford,34 MELROSE PL,131820.0,325000.0,0.4056,,,16,,,
90017,2009,06/18/2010,Bridgewater,315 NEW MILFORD RD EAST,225500.0,294192.0,0.766506227,Single Family,Single Family,18 - In Lieu Of Foreclosure,,,
22167,2022,06/16/2023,Wilton,274 CHESTNUT HILL RD,769090.0,1075000.0,0.7154,Residential,Single Family,08 - Part Interest,1/2 INTEREST - SEE 22166,,POINT (-73.397124975 41.189515004)
100506,2010,03/24/2011,Stamford,140 GROVE STREET #G-3B,143460.0,135000.0,1.062666667,Condo,Condo,,,,POINT (-73.53395 41.0587)
150230,2015,12/30/2015,West Hartford,193 WESTLAND AVENUE,295190.0,480000.0,0.614979167,Single Family,Single Family,,,,
11008,2011,04/03/2012,Bethlehem,59 SUNNY RIDGE RD,190800.0,207524.0,0.919411731,Single Family,Single Family,01 - Family,,,
90040,2009,11/12/2009,Waterford,251 BOSTON POST RD,148940.0,180000.0,0.827444444,Single Family,Single Family,,,,POINT (-72.14196 41.34707)
40415,2004,02/11/2005,West Haven,5 TREAT ST 1C,22960.0,60000.0,0.382666667,,,,,,
220126,2022,11/09/2022,West Hartford,45 ARNOLD WAY + GARAGE 3B,116130.0,190000.0,0.6112,Residential,Condo,25 - Other,"CONDO/GARAGE, 1 DEED",,POINT (-72.737882004 41.764916019)
50419,2005,01/20/2006,Manchester,25 EDMUND ST,94300.0,226900.0,0.415601587,,,,,,
170242,2017,12/21/2017,Meriden,624 WEST MAIN ST,72240.0,92500.0,0.780972973,Single Family,Single Family,,,,
51233,2005,03/14/2006,Waterbury,4 SUFFOLK ST &,81060.0,170000.0,0.476823529,,,24,,,POINT (-73.05531 41.58174)
160820,2016,03/17/2017,Stamford,41 RALSEY ROAD,495380.0,642500.0,0.771019455,Single Family,Single Family,,,,
80038,2008,11/26/2008,Cromwell,31 SHADOW LANE,241900.0,345000.0,0.70115942,Single Family,Single Family,,,,POINT (-72.64913 41.61817)
49449,2004,03/30/2005,Manchester,86 C AMBASSADOR DR,61300.0,144000.0,0.425694444,,,,,,
50041,2005,10/11/2005,Danbury,83 BEAVERBROOK RD,135200.0,293750.0,0.460255319,,,,,,
14000095,2014,06/01/2015,Granby,9 BYRON DRIVE,155750.0,226500.0,0.687637969,Single Family,Single Family,,,,
150114,2015,01/20/2016,Simsbury,9 ASHTON CIRCLE,281890.0,350000.0,0.8054,Condo,Condo,,,,
60845,2006,07/03/2007,Fairfield,164 MILLSPAUGH DR,482860.0,695000.0,0.69476259,Single Family,Single Family,,,,
80257,2008,07/01/2009,New Milford,59 WILLOW SPRINGS,111300.0,156000.0,0.713461538,Condo,Condo,,,,
40545,2004,12/03/2004,Hartford,74-76 DEERFIELD AVE,54250.0,150000.0,0.361666667,,,,,,
21016,2021,11/10/2021,Salisbury,25 MORGAN LANE,1863900.0,3075000.0,0.6061,Residential,Single Family,,WATERFRONT,,POINT (-73.389021015 42.034758987)
19047,2019,01/08/2020,Derby,7 LAUREL AVE,168910.0,279900.0,0.6035,Single Family,Single Family,,,,
90159,2009,12/01/2009,Orange,64 ANDREW LA,284700.0,358000.0,0.795251397,Single Family,Single Family,,,,
30735,2003,09/13/2004,East Haven,35 RIVER RD,90110.0,265000.0,0.340037736,,,,,,
180150,2018,01/10/2019,Vernon,655-52 TALCOTTVILLE RD,64510.0,75000.0,0.8601,Condo,Condo,,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,,POINT (-72.48454 41.85937)
10821,2001,02/05/2002,Stamford,W HILL RD,339850.0,685000.0,0.496131387,,,,,,
30352,2003,04/22/2004,Farmington,42 KNOLLWOOD RD,126080.0,209000.0,0.603253589,,,,,,
12016,2012,10/16/2012,North Haven,166 SACKETT POINT ROAD,180390.0,239900.0,0.751938308,Single Family,Single Family,,,,POINT (-72.86694 41.36777)
120105,2012,11/20/2012,New Britain,124 DWIGHT ST,130480.0,110000.0,1.186181818,Three Family,Three Family,03 - Inter Corporation,,,
11081,2001,08/21/2002,New Britain,37 ACTON ST,69240.0,80000.0,0.8655,,,1,,,POINT (-72.78958 41.6838)
160748,2016,07/12/2017,Greenwich,2 BRIDLE PATH LANE,4110470.0,4375000.0,0.939536,Single Family,Single Family,,,,POINT (-73.58918 41.01456)
160604,2016,01/23/2017,Stamford,9 FROST POND ROAD,525040.0,700000.0,0.750057143,Single Family,Single Family,,,,
30621,2003,05/25/2004,New Milford,65 BEARD DR,96040.0,220000.0,0.436545455,,,,,,
20162,2020,04/01/2021,Winchester,175 NEWFIELD ROAD,34550.0,220000.0,0.157,Vacant Land,,15 - Government Agency,& 048/154/060D-2 & 048/154/061,,
80418,2008,03/09/2009,Stamford,485 FAIRFIELD AVENUE #8,248040.0,320000.0,0.775125,Condo,Condo,,,,
170166,2017,01/22/2018,Griswold,71 JOHNSON COVE RD,158410.0,230000.0,0.6887,Single Family,Single Family,,,,
22000219,2022,05/01/2023,Cheshire,39 MAYVIEW AVE,107420.0,270000.0,0.3978,Residential,Single Family,,,,POINT (-72.956903983 41.545164982)
1300178,2013,03/31/2014,Southbury,103 B HERITAGE VILLAGE,58450.0,69000.0,0.847101449,Condo,Condo,,,,
21232,2002,09/03/2003,Fairfield,140 JUDD ST,144410.0,331000.0,0.436283988,,,,,,
20023,2002,10/24/2002,Coventry,215 N FARMS RD,175140.0,279900.0,0.625723473,,,,,,
50167,2005,07/07/2006,Hebron,20 OLDE HALL RD,169200.0,339900.0,0.497793469,,,,,,
20304,2002,06/19/2003,New Canaan,123 LONE TREE FARM RD,1373750.0,1840000.0,0.746603261,,,,,,POINT (-73.47686 41.15726)
61002,2006,02/14/2007,Waterbury,137 TOWER RD,99470.0,186000.0,0.534784946,Single Family,Single Family,,,,
120083,2012,04/01/2013,Suffield,1054 NEWGATE RD,195370.0,255000.0,0.766156863,Single Family,Single Family,24 - Plottage,"2 PARCELS, 1 VACANT LAND",,
50103,2005,12/01/2005,South Windsor,41 BEELZEBUB ST,109280.0,230000.0,0.475130435,,,,,,
30362,2003,07/19/2004,Wilton,13 SUNSET PASS,243460.0,74000.0,3.29,,,1.0,,,POINT (-73.43712 41.25982)
190021,2019,03/31/2020,North Canaan,347 SALISBURY RD,97910.0,34265.0,2.8574,Single Family,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,
130558,2013,07/29/2014,Bristol,173 DIVINITY ST,156800.0,235000.0,0.667234043,Two Family,Two Family,,,,
200077,2020,10/27/2020,Branford,237 JEFFERSON WOODS,97500.0,200000.0,0.4875,Residential,Condo,07 - Change in Property,MAJOR RENO,,
12412,2012,04/23/2013,Fairfield,24 RAYMONDS CIRCLE,277340.0,62500.0,4.43744,Single Family,Single Family,08 - Part Interest,,,
180336,2018,02/13/2019,Fairfield,57 MOREHOUSE HIGHWAY,455980.0,280000.0,1.6285,Single Family,Single Family,08 - Part Interest,,,
211216,2021,06/28/2022,Norwalk,187 FLAX HILL RD A5,115540.0,210000.0,0.5501,Residential,Condo,,,,POINT (-73.425438038 41.097791)
220075,2022,10/27/2022,Stratford,95A SEMINOLE LANE,132860.0,435900.0,0.3047,Residential,Condo,,,,POINT (-73.110466987 41.246360988)
10116,2010,01/21/2011,Groton,272 ELM ST,451780.0,432500.0,1.044578035,,,,,,
61001,2006,07/27/2007,Bristol,164 STEARNS ST,114180.0,208000.0,0.548942308,Single Family,Single Family,,,,
70773,2007,09/05/2008,Stratford,226 HIGHVIEW DR,205800.0,325000.0,0.633230769,Single Family,Single Family,,,,POINT (-73.12664 41.21953)
62462,2006,09/06/2007,Bridgeport,657-659 LAUREL AVE,162260.0,375000.0,0.432693333,Two Family,Two Family,11 - Court Order,,,
160002,2016,10/03/2016,Warren,121 NORTH SHORE RD,873250.0,957500.0,0.912010444,Single Family,Single Family,08 - Part Interest,,,
2200132,2022,05/17/2023,Plymouth,51 OLD FARM ROAD,243320.0,435000.0,0.5593,Residential,Single Family,,,,POINT (-73.026040016 41.699800995)
20395,2002,03/31/2003,Norwich,10 BURNS ALLEY,20800.0,85000.0,0.244705882,,,,,,
171086,2017,09/12/2018,West Hartford,60 HENLEY WAY,157920.0,210000.0,0.752,Condo,Condo,01 - Family,,,POINT (-72.73635 41.80424)
40287,2004,07/20/2005,Old Saybrook,138 CHALKER BCH RD,185400.0,425000.0,0.436235294,,,,,,POINT (-72.41268 41.27921)
40285,2004,07/20/2005,Ellington,11 TREE TOP RD,310400.0,616000.0,0.503896104,,,,,,
140113,2014,11/14/2014,New Haven,24 WOODWARD AVE UNIT 51,76510.0,69000.0,1.10884058,Condo,Condo,25 - Other,BELOW MARKET,,
220772,2022,07/11/2023,Hamden,140 EAST GATE LA U140,91350.0,237500.0,0.3846,Residential,Condo,,,,POINT (-72.925726992 41.374339993)
40112,2004,01/18/2005,Wilton,66 CHICKEN ST,565040.0,10000.0,56.504,,,8,,,POINT (-73.43973 41.22682)
140139,2014,02/25/2015,New Milford,177 WILLOW SPRINGS,78330.0,85000.0,0.921529412,Condo,Condo,14 - Foreclosure,,,
40226,2004,05/18/2005,Wilton,250 MOUNTAIN RD,255010.0,441000.0,0.578253968,,,,,,
190081,2019,09/24/2020,Bolton,191 WEST ST,138700.0,187000.0,0.7417,Single Family,Single Family,,,,POINT (-72.43773 41.7468)
110494,2011,09/17/2012,Wallingford,116 NORTH PLAINS IND RD,455700.0,470000.0,0.969574468,,,14 - Foreclosure,,,POINT (-72.81895 41.47808)
1500255,2015,11/18/2015,Stamford,38 KANE AVENUE,298070.0,354000.0,0.84200565,Single Family,Single Family,,,,
111147,2011,07/16/2012,Bridgeport,25 THERESA PLACE UNIT #27,147690.0,75000.0,1.9692,Three Family,Three Family,25 - Other,SOLD BELOW MARKET VALUE,,
180927,2018,09/20/2019,Hamden,34 PATTERSON RD,178500.0,297670.0,0.5996,Single Family,Single Family,,,,
110141,2011,08/01/2012,Coventry,206 TWIN HILLS DR,155900.0,225000.0,0.692888889,Single Family,Single Family,,,,
60021,2006,02/15/2007,Bethlehem,112 WEEKEEPEEMEE RD,198540.0,270000.0,0.735333333,Two Family,Two Family,,,,
19104,2019,04/03/2020,East Haddam,18 MAPLE AVE,160650.0,222500.0,0.722,Single Family,Single Family,,,,
130039,2013,08/21/2014,North Canaan,49 FOOTE AVE,118280.0,155000.0,0.763096774,Single Family,Single Family,,,,
21344,2021,04/13/2022,Newtown,48 ALPINE CIRCLE,217900.0,380000.0,0.5734,Residential,Single Family,,,,POINT (-73.243841004 41.425792012)
140131,2014,06/19/2015,Windsor Locks,52B ELM CORNERS,42800.0,61600.0,0.694805195,Condo,Condo,,,,
20019,2002,10/10/2002,Bloomfield,3 GREENBRIER DR,51040.0,134900.0,0.378354337,,,,,,POINT (-72.70241 41.82116)
60308,2006,05/23/2007,Westport,3 NAPPA LN,506300.0,1960000.0,0.258316327,Single Family,Single Family,07 - Change in Property,,,POINT (-73.35574 41.12729)
14606,2014,09/28/2015,Glastonbury,45 PEACH TREE RD,215500.0,345000.0,0.624637681,Single Family,Single Family,,,,
900377,2009,08/02/2010,Westport,31 WOODY LN,2746700.0,4120000.0,0.666674757,Single Family,Single Family,,,,POINT (-73.32744 41.16011)
32204,2003,07/01/2004,Stamford,50 RIDGE PARK AVE,196980.0,545000.0,0.361431193,,,,,,
90349,2009,06/09/2010,Glastonbury,8 DUTTON PLACE WAY,135700.0,193000.0,0.703108808,Condo,Condo,,,,
160318,2016,03/30/2017,Torrington,20 COLORADO AVE N,88460.0,55000.0,1.608363636,Single Family,Single Family,25 - Other,EXEC DEED,,
200091,2020,12/09/2020,Wolcott,119 KNOLLWOOD DR,218290.0,350000.0,0.623685714,Residential,Single Family,,non MLS sale; no market time or sales or financing concession data available,,
100078,2010,01/14/2011,Bethel,39 NASHVILLE ROAD EXT,366860.0,575000.0,0.638017391,Single Family,Single Family,07 - Change in Property,,,POINT (-73.4032 41.35648)
10453,2001,08/23/2002,New London,31 JENNIE ST,16380.0,155000.0,0.105677419,,,7,,,POINT (-72.11124 41.36813)
10202,2001,07/30/2002,Redding,1 CHURCH HL LN,332180.0,590000.0,0.563016949,,,,,,
190441,2019,04/13/2020,Manchester,34 ASHWORTH STREET,110300.0,180000.0,0.6128,Single Family,Single Family,,,,POINT (-72.50657 41.77159)
41896,2004,05/25/2005,Stamford,39 GLENBROOK RD 3C,51030.0,230000.0,0.221869565,,,,,,
16064,2016,05/16/2017,Marlborough,8 LAFAYETTE RD,125090.0,193500.0,0.646459948,Single Family,Single Family,,,,POINT (-72.46893 41.63394)
60190,2006,06/18/2007,Stafford,46 EDGEWOOD ST UT 03,87220.0,152500.0,0.571934426,Condo,Condo,,,,
50075,2005,01/11/2006,Old Saybrook,5 BLUE HERON WAY,281200.0,414900.0,0.677753676,,,,,,
160206,2016,02/07/2017,Killingly,12 DEER COURT,181720.0,253000.0,0.71826087,Single Family,Single Family,,,,
10335,2010,08/26/2011,Ridgefield,110 NURSERY ROAD,1086380.0,1238000.0,0.877528271,Single Family,Single Family,,,,
220168,2022,01/09/2023,Groton,7 INDIAN FIELD RD,111370.0,130000.0,0.8566,Residential,Single Family,,,,POINT (-72.028886989 41.349095)
20093,2002,04/17/2003,Haddam,148 OLD CART RD,54260.0,37500.0,1.446933333,,,3.0,,,
40225,2004,05/27/2005,Wolcott,64 BAYVIEW CIR,122150.0,299900.0,0.407302434,,,,,,
18724,2018,06/24/2019,Hartford,31 WOODLAND ST #006B,27055.0,92000.0,0.294,Condo,Condo,,,,
210159,2021,03/08/2022,Wolcott,8 PIMLICO RD,161350.0,475000.0,0.3396,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.988662009 41.567766993)
60016,2006,11/30/2006,North Stonington,465 N W CORNER RD,79030.0,95000.0,0.831894737,,,,,,
10863,2001,05/02/2002,Hartford,443-445 EDGEWOOD ST,59290.0,125000.0,0.47432,,,,,,
190118,2019,11/01/2019,Milford,110 MILFORD POINT RD,373760.0,555000.0,0.6734,Single Family,Single Family,,,,
2020154,2020,03/15/2021,Tolland,99 NEFF HILL RD,60100.0,1800000.0,0.033388889,Vacant Land,,25 - Other,MULTI PARCEL IN DEVELOPMENT,,
13393,2013,06/27/2014,Glastonbury,216 COUNTRY CLUB RD,211700.0,250000.0,0.8468,Single Family,Single Family,25 - Other,"""MASSIVE REDUCTION IN SALES PRICE"" PER MLS",,
20119,2002,12/18/2002,New London,19 HAWTHORNE DR 110,78960.0,147550.0,0.53514063,,,,,,
43232,2004,08/19/2005,Bridgeport,938-940 HANCOCK AVE,128030.0,325000.0,0.393938462,,,,,,
30272,2003,08/15/2004,Derby,MAPLEWOOD CONDO 7H,72870.0,185000.0,0.393891892,,,,,,
140217,2014,08/19/2015,Cromwell,13 SCOTT LANE,201150.0,345000.0,0.583043478,Single Family,Single Family,,,,
202215,2020,07/30/2021,North Haven,8 SONNE DR,196760.0,285000.0,0.6903,Residential,Single Family,,,,POINT (-72.88528 41.37821)
2200282,2022,11/22/2022,Stamford,114 IRON GATE ROAD,506690.0,845000.0,0.5996,Residential,Single Family,,,,POINT (-73.577583997 41.112879012)
12198,2012,02/07/2013,Windsor Locks,83 DEBORAH ROAD,130400.0,200000.0,0.652,Single Family,Single Family,,,,
20619,2002,04/21/2003,Stratford,70 LINDAS RUN,185420.0,349000.0,0.531289398,,,,,,
18051,2018,01/04/2019,Durham,580 GUILFORD RD,126850.0,105000.0,1.208,Single Family,Single Family,25 - Other,Unknown,,
90143,2009,10/21/2009,Orange,668 ESTELLE CT,310800.0,460000.0,0.675652174,Single Family,Single Family,,,,POINT (-73.0214 41.29043)
120029,2012,10/18/2012,Middletown,234 WILLIAM ST,132980.0,140000.0,0.949857143,Two Family,Two Family,,,,
22065,2022,12/20/2022,Monroe,106 HARVESTER ROAD,257400.0,480000.0,0.5362,Residential,Single Family,,,,POINT (-73.232945033 41.325576008)
140920,2014,08/12/2015,Greenwich,98 VALLEY RD UNIT 2,325220.0,450000.0,0.722711111,Condo,Condo,,,,
20249,2002,12/10/2002,Stratford,149 ORANGE ST,62650.0,114000.0,0.549561404,,,,,,
20218,2002,07/01/2003,Coventry,21 MAPLEWOOD TRL,83510.0,142900.0,0.584394682,,,,,,POINT (-72.33746 41.78362)
12196,2001,07/11/2002,Bridgeport,696 LINDLEY ST,40606.0,124000.0,0.327467742,,,,,,
200391,2020,12/08/2020,Milford,11 TURNOR AVE,225800.0,350000.0,0.6451,Residential,Single Family,,,,POINT (-73.09801 41.18746)
140218,2014,03/03/2015,Middletown,23 INVERNESS LA,84670.0,54000.0,1.567962963,Single Family,Single Family,25 - Other,SHORT SALE PER MLS,,POINT (-72.7061 41.58835)
130123,2013,09/19/2014,Haddam,206 QUARRY HILL RD,204050.0,10000.0,20.405,Single Family,Single Family,06 - Portion of Property,,,
160011,2016,10/04/2016,Stratford,75 GEM ST,166320.0,138299.0,1.202611733,Single Family,Single Family,14 - Foreclosure,BANK SALE OF FORCLOSED PROPERTY,,
20220,2002,01/22/2003,Windsor,41 AMANDA CIR,108430.0,187000.0,0.579839572,,,,,,POINT (-72.6512 41.83031)
21397,2002,09/04/2003,Hartford,69-71 PRATT ST,288050.0,595000.0,0.484117647,,,1,,,POINT (-72.67447 41.76765)
10279,2001,01/22/2002,Torrington,23 ST ANDREWS CLS,53300.0,120000.0,0.444166667,,,,,,
120059,2012,11/16/2012,Enfield,63 NORTH ST,148360.0,180000.0,0.824222222,Single Family,Single Family,,,,
160485,2016,08/28/2017,Westport,14 WARNOCK DRIVE,504600.0,692000.0,0.729190751,Single Family,Single Family,,,,
20192,2002,09/08/2003,New Hartford,65 INDIAN MDW,38500.0,93000.0,0.413978495,,,,,,
50385,2005,07/05/2006,Killingly,12 SCHOOL ST,71710.0,195000.0,0.36774359,,,,,,
200011,2020,10/16/2020,Old Lyme,19 WHIPPOORWILL RD,208800.0,352500.0,0.5923,Residential,Single Family,,,,
100137,2010,03/24/2011,Cheshire,23 MOUNTAINCREST DR,623540.0,899000.0,0.693592881,Single Family,Single Family,,,,
40921,2004,08/12/2005,Wallingford,279 S CHERRY ST,82400.0,165000.0,0.499393939,,,,,,POINT (-72.83123 41.44837)
130399,2013,09/26/2014,South Windsor,22 CANDLEWOOD DR,61900.0,82000.0,0.754878049,Condo,Condo,,,,
41233,2004,07/11/2005,New Britain,25 LIBERTY ST,93380.0,130000.0,0.718307692,,,4,,,
190083,2019,09/29/2020,Bolton,53 MOUNT SUMNER DR,187600.0,265000.0,0.7079,Single Family,Single Family,,,,
100293,2010,03/09/2011,West Hartford,43 PARK PLACE CIRCLE,90200.0,360776.0,0.250016631,Condo,Condo,07 - Change in Property,,,
100194,2010,12/07/2010,Stamford,1 BROAD STREET #PH25A,970500.0,1080380.0,0.898295044,Condo,Condo,,,,
20221,2020,03/08/2021,Bethel,39 WHITTLESEY DRIVE,102410.0,220000.0,0.4655,Residential,Condo,,,,POINT (-73.39772 41.38373)
200348,2020,04/27/2021,Farmington,8 ESSEX CT,372800.0,535000.0,0.6968,Residential,Single Family,,,,
10067,2001,10/31/2001,Windsor,116 ROOD AVE,85330.0,150000.0,0.568866667,,,,,,
31008,2003,06/14/2004,New Britain,202 BUELL ST,58170.0,149000.0,0.390402685,,,,,,POINT (-72.78276 41.65353)
170970,2017,06/22/2018,Naugatuck,211 WEDGEWOOD DRIVE,157590.0,214000.0,0.736401869,Single Family,Single Family,14 - Foreclosure,FANNIE MAE SALE,,POINT (-73.07869 41.50727)
20014,2002,10/28/2002,North Branford,1789 FOXON RD UT 4A,56910.0,110000.0,0.517363636,,,,,,
140036,2014,04/28/2015,Preston,62 PRODELL RD,202800.0,299900.0,0.676225408,Single Family,Single Family,,62 PRODELL RD,,
180599,2018,07/25/2019,Enfield,25 PEASE ST,94780.0,147000.0,0.6447,Single Family,Single Family,,,,
170690,2017,08/21/2018,Torrington,678 MIGEON AVE,80180.0,50000.0,1.6036,Two Family,Two Family,14 - Foreclosure,OUT OF FORECLOSURE,,
160216,2016,02/21/2017,Glastonbury,25 ACCORNERO LN,457900.0,699900.0,0.654236319,Single Family,Single Family,,,,
80411,2008,01/22/2009,Waterbury,74 CITIZENS AVE,104660.0,129000.0,0.811317829,Single Family,Single Family,25 - Other,ESTATE SALE,,
40583,2004,08/16/2005,Ridgefield,310 WEST LN,397040.0,747000.0,0.531512718,,,,,,
90493,2009,08/31/2010,Glastonbury,57 ADDISON POND RD,141900.0,193000.0,0.735233161,Condo,Condo,,,,
20487,2020,03/03/2021,Hartford,109 OAKLAND TER,55895.0,230000.0,0.243,Residential,Three Family,,,,
190088,2019,11/04/2019,Hamden,185 MILL POND RD,145320.0,155000.0,0.9375,Single Family,Single Family,,,,
190154,2019,04/28/2020,Ledyard,7 JESSICA LN,158200.0,245000.0,0.6457,Single Family,Single Family,,,,
100745,2010,08/01/2011,Norwalk,4 OLD LANTERN PL,290080.0,405000.0,0.716246914,Single Family,Single Family,,,,
150093,2015,04/01/2016,Woodbury,76 MIDDLE RD TPKE,184180.0,300000.0,0.613933333,Single Family,Single Family,07 - Change in Property,HOUSE FLIPPED,,
60039,2006,11/20/2006,New Canaan,126 MAIN STREET,3047100.0,15150000.0,0.201128713,,,07 - Change in Property,PROPERTY SUBSTANTIALLY IMPROVED/CHANGED.,,
40936,2004,07/27/2005,Manchester,332 BRIARWOOD DR,45200.0,80000.0,0.565,,,,,,
20283,2020,04/21/2021,Bethel,504 COPPER SQUARE DRIVE,212730.0,365000.0,0.5828,Residential,Condo,,,,
120020,2012,11/26/2012,Westbrook,1244 OLD CLINTON RD,349800.0,394110.0,0.88756946,,,14 - Foreclosure,FORECLOSURE BY SALE OF COMMITTEE DEED,,POINT (-72.45385 41.28889)
60418,2006,04/13/2007,Norwich,92 OAKRIDGE ST,97000.0,222000.0,0.436936937,Single Family,Single Family,,,,
10320,2010,06/21/2011,Manchester,99 BALDWIN ROAD,163200.0,232000.0,0.703448276,Single Family,Single Family,,,,
40033,2004,10/05/2004,New Haven,353 POPLAR ST,60970.0,162000.0,0.376358025,,,,,,
210104,2021,03/09/2022,Weston,30 CATBRIER ROAD,501280.0,1255000.0,0.3994,Residential,Single Family,,,,POINT (-73.360877015 41.24642599)
140013,2014,11/06/2014,Essex,90 MAIN ST. UNIT 109,53800.0,120000.0,0.448333333,,,,Spencer's Corner Condominium,,
210440,2021,06/29/2022,Newington,49 FLEETWOOD RD,172470.0,330000.0,0.522636364,Residential,Single Family,,,,POINT (-72.734344002 41.672632984)
167689,2016,08/17/2017,Bridgeport,1590 BARNUM AVE,519850.0,1123745.0,0.46260495,,,,,,
10977,2001,08/06/2002,West Haven,78 YORK ST 10,44380.0,72900.0,0.60877915,,,14.0,,,
80119,2008,05/11/2009,North Haven,11 PAPA LANE,205800.0,302500.0,0.680330579,Single Family,Single Family,,,,
